trial_counter;time;RMSE_mean;RMSE_std;alpha;max_evals;random_state;task
1;0,0;0,523675520476;0,000228590004462;1,4622739407601793e-06;10;44;reg_skl_lasso
2;0,0;0,533973877647;1,8187827202e-05;0,24786546672665022;10;44;reg_skl_lasso
3;0,0;0,533973877647;1,8187827202e-05;2,888221933593946;10;44;reg_skl_lasso
4;0,0;0,533973877647;1,8187827202e-05;0,0006934759747103899;10;44;reg_skl_lasso
5;0,0;0,533973877647;1,8187827202e-05;1,225244473373017;10;44;reg_skl_lasso
6;0,0;0,525854928316;5,84664633737e-05;0,0002047687530423801;10;44;reg_skl_lasso
7;0,0;0,533973877647;1,8187827202e-05;2,355099064813843;10;44;reg_skl_lasso
8;0,0;0,533973877647;1,8187827202e-05;0,006639188166036179;10;44;reg_skl_lasso
9;0,0;0,523677171126;0,000227887588395;3,471782121066089e-08;10;44;reg_skl_lasso
10;0,0;0,533973877647;1,8187827202e-05;0,002992956675337254;10;44;reg_skl_lasso
